Date,Open,High,Low,Close,Volume
2023-01-02,170.0,172.5,169.8,172.0,100000
2023-01-03,172.1,173.4,171.5,173.2,120000
2023-01-04,173.0,175.0,172.8,174.5,150000
2023-01-05,174.6,176.2,174.1,175.8,130000
2023-01-06,175.5,178.0,175.2,177.5,160000
2023-01-09,177.8,180.1,177.5,179.8,180000
2023-01-10,180.0,181.2,179.5,180.5,170000
2023-01-11,180.6,182.3,180.2,181.9,190000
2023-01-12,182.0,183.5,181.8,183.0,200000
2023-01-13,183.2,184.1,182.5,183.8,185000
2023-01-16,183.9,185.0,183.6,184.5,165000
2023-01-17,184.8,186.2,184.3,185.9,175000
2023-01-18,186.0,187.1,185.5,186.8,195000
2023-01-19,186.5,188.0,186.3,187.5,210000
2023-01-20,187.8,189.2,187.5,188.9,220000
2023-01-23,189.0,190.5,188.8,190.2,205000
2023-01-24,190.1,191.3,189.8,191.0,198000
2023-01-25,191.2,192.5,190.9,192.1,215000
2023-01-26,192.0,193.4,191.8,193.0,230000
2023-01-27,193.1,194.6,192.9,194.2,240000
2023-01-30,194.5,195.8,194.0,195.5,225000
2023-01-31,195.6,196.7,195.2,196.3,235000
